variant,fold,model,roc_auc,pr_auc,ks,brier,n,event_rate
primary,0,lr_woe,0.8599083533352723,0.3750002998615229,0.5629485404189116,0.05056685332584376,24000,0.06683333333333333
primary,0,lgbm_mono,0.8696881100517149,0.39424517658317243,0.5892661407741586,0.04924576985908651,24000,0.06683333333333333
primary,1,lr_woe,0.849771125521613,0.3584451031204763,0.5398643950937088,0.051423495285578706,24000,0.06683333333333333
primary,1,lgbm_mono,0.8599877449615825,0.3777797672769836,0.5615171528225338,0.050320444594819255,24000,0.06683333333333333
primary,2,lr_woe,0.8645047443456015,0.39936695310531256,0.5738465721746714,0.04927248220980325,24000,0.06683333333333333
primary,2,lgbm_mono,0.8727663728248588,0.41949084203041903,0.5906068905250714,0.04817694897001231,24000,0.06683333333333333
primary,3,lr_woe,0.8553384633166147,0.3711219452481598,0.5526533505493276,0.05063484683143408,24000,0.06683333333333333
primary,3,lgbm_mono,0.8640452499978845,0.3910754343744519,0.5617378459548574,0.04968403075143603,24000,0.06683333333333333
primary,4,lr_woe,0.8502263453054372,0.3675763020043109,0.5426570099717686,0.05078794973339216,24000,0.066875
primary,4,lgbm_mono,0.8623966186266265,0.40374607744293695,0.5730685045268367,0.049198977263901045,24000,0.066875
sentinel_cap,0,lr_woe,0.8599729355838837,0.3747177076771782,0.5633967189545337,0.05054530083397338,24000,0.06683333333333333
sentinel_cap,0,lgbm_mono,0.8695097015899259,0.39423265825919956,0.5890232892496389,0.049264663602277665,24000,0.06683333333333333
sentinel_cap,1,lr_woe,0.8498156371662378,0.35872134136504674,0.5401719402155443,0.0514115408489493,24000,0.06683333333333333
sentinel_cap,1,lgbm_mono,0.8596909728269077,0.3764752994510162,0.5609445977839826,0.050396155116320035,24000,0.06683333333333333
sentinel_cap,2,lr_woe,0.8644989820501434,0.39917424684699343,0.5739821948967553,0.04928082639317288,24000,0.06683333333333333
sentinel_cap,2,lgbm_mono,0.8724806938048698,0.4208624916485616,0.5906782650446576,0.04816615475983935,24000,0.06683333333333333
sentinel_cap,3,lr_woe,0.8554255936778878,0.37104908709746126,0.5525657191188843,0.05063378293714358,24000,0.06683333333333333
sentinel_cap,3,lgbm_mono,0.8642091831280879,0.39111236600642474,0.5631265869974109,0.04969833952091347,24000,0.06683333333333333
sentinel_cap,4,lr_woe,0.8502635420818092,0.3692553713681399,0.5417318201451008,0.0507473208908355,24000,0.066875
sentinel_cap,4,lgbm_mono,0.8624782039270839,0.40267129810007046,0.5712093612350888,0.049217413727176,24000,0.066875
sentinel_drop,0,lr_woe,0.8600623207564229,0.3706702034747649,0.5633728903317701,0.05065653801880423,24000,0.06683333333333333
sentinel_drop,0,lgbm_mono,0.8686915113092425,0.3851623042431389,0.5893771554325473,0.049720790283803294,24000,0.06683333333333333
sentinel_drop,1,lr_woe,0.8500652809617322,0.35905608269382666,0.5414551226862296,0.05152072050605543,24000,0.06683333333333333
sentinel_drop,1,lgbm_mono,0.858412578350516,0.37262298924890336,0.5648826674161177,0.05067476298511774,24000,0.06683333333333333
sentinel_drop,2,lr_woe,0.8645387892120031,0.39852081604733997,0.5747942609986909,0.049467707414736405,24000,0.06683333333333333
sentinel_drop,2,lgbm_mono,0.8713402046990044,0.41321792004628655,0.5863254214882512,0.04861979960911617,24000,0.06683333333333333
sentinel_drop,3,lr_woe,0.856067310180523,0.3729594214182149,0.5531106596787189,0.05072508751779539,24000,0.06683333333333333
sentinel_drop,3,lgbm_mono,0.8628561432639156,0.38372966775757716,0.5607397161676984,0.05006003433968567,24000,0.06683333333333333
sentinel_drop,4,lr_woe,0.8501194289168073,0.38095138816132945,0.5459642401821168,0.050515099740584254,24000,0.066875
sentinel_drop,4,lgbm_mono,0.8616351140907482,0.4002723579096623,0.5710340884668432,0.04948563321498981,24000,0.066875
util_missing,0,lr_woe,0.8598300473588311,0.37488700859369783,0.5624686275025064,0.050571221332548245,24000,0.06683333333333333
util_missing,0,lgbm_mono,0.8695072936741911,0.3926910313498571,0.5902680564172708,0.04929521264822262,24000,0.06683333333333333
util_missing,1,lr_woe,0.8499613926204314,0.35830847210986033,0.5411938986254671,0.05142925044543684,24000,0.06683333333333333
util_missing,1,lgbm_mono,0.8601436192292978,0.37799485408399486,0.5632096531309696,0.050341372547471376,24000,0.06683333333333333
util_missing,2,lr_woe,0.8641958073649596,0.39872299172048564,0.5733124324391736,0.04930610743102289,24000,0.06683333333333333
util_missing,2,lgbm_mono,0.8730737509236375,0.4213021722342852,0.5920699011535281,0.048121835561255835,24000,0.06683333333333333
util_missing,3,lr_woe,0.8555003643329611,0.3706441136615773,0.552876604701855,0.050642271879699496,24000,0.06683333333333333
util_missing,3,lgbm_mono,0.8644221653626248,0.39025944748771935,0.5607450609055143,0.04968160498102964,24000,0.06683333333333333
util_missing,4,lr_woe,0.8499810329825792,0.36758468877808176,0.5421637423239917,0.050792002613536946,24000,0.066875
util_missing,4,lgbm_mono,0.862718313709043,0.40396348018182227,0.5732270846504873,0.049186772271186306,24000,0.066875
util_p99,0,lr_woe,0.8599083533352723,0.3750002998615229,0.5629485404189116,0.05056685332584376,24000,0.06683333333333333
util_p99,0,lgbm_mono,0.8691339275494065,0.3929123623593185,0.5884953850415932,0.04932376123421373,24000,0.06683333333333333
util_p99,1,lr_woe,0.849771125521613,0.3584451031204763,0.5398643950937088,0.051423495285578706,24000,0.06683333333333333
util_p99,1,lgbm_mono,0.8597321300918093,0.3769679539689589,0.5641406396493139,0.05033239626040658,24000,0.06683333333333333
util_p99,2,lr_woe,0.8645047443456015,0.39936695310531256,0.5738465721746714,0.04927248220980325,24000,0.06683333333333333
util_p99,2,lgbm_mono,0.8727583000437823,0.41811254822355814,0.5921345947508438,0.048219916069568804,24000,0.06683333333333333
util_p99,3,lr_woe,0.8553384633166147,0.3711219452481598,0.5526533505493276,0.05063484683143408,24000,0.06683333333333333
util_p99,3,lgbm_mono,0.864217840489863,0.39061495502280347,0.560964195155975,0.04970909415398092,24000,0.06683333333333333
util_p99,4,lr_woe,0.8502263453054372,0.3675763020043109,0.5426570099717686,0.05078794973339216,24000,0.066875
util_p99,4,lgbm_mono,0.8627378162821446,0.4028896423208903,0.572248895677231,0.049220092619808024,24000,0.066875
