top_k_pct,tau_cutoff,inc_spend_per_eligible,inc_default_pp_per_eligible,inc_default_pp_upper_bound
10,39.79214913213443,1.2863193858777973,0.027007738894552966,0.09551467521445417
20,34.7840713300827,5.1908398414428225,0.08491049022811023,0.17630229168560455
30,31.65264809647626,7.446085432640942,0.04383071222007548,0.1535221928354119
40,28.97490842236933,9.988853402334525,-0.0018568321286173768,0.12124403608408416
50,26.21944901856623,14.244619741591386,0.04127698776973195,0.18374865403588536
60,23.124086146777795,18.55685430937669,0.06915593235319042,0.2323542371372898
70,19.187984072990478,20.819018747702994,0.10278066149102957,0.286365923901488
80,14.422808272495036,22.743787451641353,0.12137434403732235,0.3339746253721846
90,8.43531628168621,24.76667308021675,0.15851181486508428,0.4024139329601311
