segment,n,spend_diff,default_diff_pp,p_raw,p_bh,label
riskQ1,13381,30.12571272572208,0.21051911994545455,3.5513385250732582e-09,1.775669262536629e-08,EXPLORATORY (BH-adjusted; hypothesis-generating only)
riskQ2,13881,26.671227646576256,0.06347533369711733,2.483545097801129e-07,4.139241829668549e-07,EXPLORATORY (BH-adjusted; hypothesis-generating only)
riskQ3,12402,17.98451009923889,-0.08569981519148412,0.0005362861064113862,0.0006179403114064391,EXPLORATORY (BH-adjusted; hypothesis-generating only)
riskQ4,13237,28.39612317135692,0.1807569616393636,9.990871365000845e-09,2.4977178412502114e-08,EXPLORATORY (BH-adjusted; hypothesis-generating only)
riskQ5,13102,16.127589416930334,0.1952194718373726,0.0006179403114064391,0.0006179403114064391,EXPLORATORY (BH-adjusted; hypothesis-generating only)
